keyword,hasAIOverview,totalCitations,brandRank,aiOverviewCitations
flight time from singapore to hanoi,YES,8,4,"[{""rank"":1,""domain"":""www.google.com""},{""rank"":2,""domain"":""sg.trip.com""},{""rank"":3,""domain"":""www.google.com""},{""rank"":4,""domain"":""www.vietnamairlines.com""},{""rank"":5,""domain"":""www.skyscanner.com.sg""},{""rank"":6,""domain"":""www.skyscanner.com.sg""},{""rank"":7,""domain"":""www.flyscoot.com""},{""rank"":8,""domain"":""www.skyscanner.com.sg""}]"
flight time singapore to hanoi,NO,0,,[]
flying time singapore to hanoi,YES,5,3,"[{""rank"":1,""domain"":""www.skyscanner.com.au""},{""rank"":2,""domain"":""www.flightsfrom.com""},{""rank"":3,""domain"":""www.vietnamairlines.com""},{""rank"":4,""domain"":""www.vietnamairlines.com""},{""rank"":5,""domain"":""www.skyscanner.ie""}]"
cheap flight from singapore to hanoi,NO,0,,[]
cheap flights to hanoi from singapore,NO,0,,[]
singapore to hanoi cheap flights,NO,0,,[]
singapore to hanoi flight duration,NO,0,,[]
direct flight from singapore to hanoi,NO,0,,[]
from singapore to hanoi,NO,0,,[]
singapore to vietnam hanoi,NO,0,,[]
flight from singapore to phu quoc,NO,0,,[]
flight from singapore to phu quoc island,NO,0,,[]
flight to phu quoc from singapore,NO,0,,[]
phu quoc flights from singapore,NO,0,,[]
direct flight from singapore to phu quoc,NO,0,,[]
singapore to phu quoc direct flight,NO,0,,[]
singapore to phu quoc flight time,NO,0,,[]
sg to phu quoc flight,NO,0,,[]
flight from sgn to phu quoc,NO,0,,[]
flight time from singapore to vietnam,YES,7,6,"[{""rank"":1,""domain"":""www.traveloka.com""},{""rank"":2,""domain"":""www.flyscoot.com""},{""rank"":3,""domain"":""www.google.com""},{""rank"":4,""domain"":""www.skyscanner.com.sg""},{""rank"":5,""domain"":""www.google.com""},{""rank"":6,""domain"":""www.vietnamairlines.com""},{""rank"":7,""domain"":""www.vietnamairlines.com""}]"
singapore to vietnam flight time,YES,2,,"[{""rank"":1,""domain"":""www.flyscoot.com""},{""rank"":2,""domain"":""www.traveloka.com""}]"
how long is the flight from singapore to vietnam,NO,0,,[]
singapore to vietnam flight duration,YES,3,,"[{""rank"":1,""domain"":""www.traveloka.com""},{""rank"":2,""domain"":""www.kayak.sg""},{""rank"":3,""domain"":""www.skyscanner.com.sg""}]"
how long is a flight from singapore to vietnam,YES,3,3,"[{""rank"":1,""domain"":""www.traveloka.com""},{""rank"":2,""domain"":""www.flyscoot.com""},{""rank"":3,""domain"":""www.vietnamairlines.com""}]"
how many hours flight from singapore to vietnam,YES,6,6,"[{""rank"":1,""domain"":""www.skyscanner.com.sg""},{""rank"":2,""domain"":""www.skyscanner.com.sg""},{""rank"":3,""domain"":""www.flyscoot.com""},{""rank"":4,""domain"":""www.skyscanner.com.sg""},{""rank"":5,""domain"":""www.traveloka.com""},{""rank"":6,""domain"":""www.vietnamairlines.com""}]"
how many hours from singapore to vietnam,NO,0,,[]
singapore to vietnam duration,YES,6,1,"[{""rank"":1,""domain"":""www.vietnamairlines.com""},{""rank"":2,""domain"":""www.skyscanner.com.sg""},{""rank"":3,""domain"":""www.traveloka.com""},{""rank"":4,""domain"":""www.google.com""},{""rank"":5,""domain"":""www.flyscoot.com""},{""rank"":6,""domain"":""www.skyscanner.com.sg""}]"
singapore to vietnam flight hours,NO,0,,[]
singapore to vietnam flight how long,YES,4,2,"[{""rank"":1,""domain"":""www.flyscoot.com""},{""rank"":2,""domain"":""www.vietnamairlines.com""},{""rank"":3,""domain"":""www.traveloka.com""},{""rank"":4,""domain"":""www.flyscoot.com""}]"
flight to vietnam from singapore,NO,0,,[]
singapore flight to vietnam,NO,0,,[]
flight singapore to vietnam,NO,0,,[]
singapore to vietnam,NO,0,,[]
singapore to vietnam flight,NO,0,,[]
singapore vietnam flight,NO,0,,[]
fly singapore to vietnam,NO,0,,[]
singapore to vietnam flight price,NO,0,,[]
direct flight from singapore to vietnam,NO,0,,[]
singapore to vietnam direct flights,NO,0,,[]
singapore to vietnam flight cost,NO,0,,[]
singapore to vietnam flight ticket price,NO,0,,[]
cheap flights to vietnam from singapore,NO,0,,[]
flight to dalat vietnam,NO,0,,[]
direct flight to dalat,NO,0,,[]
flight to da lat,NO,0,,[]
flight to dalat,NO,0,,[]
flights to dalat,NO,0,,[]
da nang flights,NO,0,,[]
danang flight tickets,NO,0,,[]
flight ticket to da nang,NO,0,,[]
flight to da nang,NO,0,,[]
flight to da nang vietnam,NO,0,,[]
flight to danang vietnam,NO,0,,[]
fly to da nang vietnam,NO,0,,[]
fly to danang,NO,0,,[]
cheap flight to da nang,NO,0,,[]
cheap flight to da nang vietnam,NO,0,,[]
flight time to hanoi,NO,0,,[]
flights to ho chi minh,NO,0,,[]
flights to ho chi minh city,NO,0,,[]
flight to hcm,NO,0,,[]
flight to hcm city,NO,0,,[]
flight to hcmc,NO,0,,[]
flight to hcmc vietnam,NO,0,,[]
flight to ho chi minh city,NO,0,,[]
flight to ho chi minh city vietnam,NO,0,,[]
flight to ho chi minh vietnam,NO,0,,[]
flight to vietnam ho chi minh,NO,0,,[]
flights to vietnam ho chi minh city,NO,0,,[]
flights to hanoi,NO,0,,[]
book flight to hanoi,NO,0,,[]
flight to hanoi,NO,0,,[]
flight to hanoi vietnam,NO,0,,[]
flights to hanoi vietnam,NO,0,,[]
cheap flight to hanoi,NO,0,,[]
cheap flight to hanoi vietnam,NO,0,,[]
flight to phu quoc,NO,0,,[]
flight to phu quoc island,NO,0,,[]
flight to phu quoc vietnam,NO,0,,[]
direct flight to phu quoc,YES,9,,"[{""rank"":1,""domain"":""www.expedia.com.sg""},{""rank"":2,""domain"":""www.traveloka.com""},{""rank"":3,""domain"":""sg.trip.com""},{""rank"":4,""domain"":""www.kayak.sg""},{""rank"":5,""domain"":""www.skyscanner.com.sg""},{""rank"":6,""domain"":""www.flyscoot.com""},{""rank"":7,""domain"":""www.expedia.com.sg""},{""rank"":8,""domain"":""www.traveloka.com""},{""rank"":9,""domain"":""sg.trip.com""}]"
flights to vietnam,NO,0,,[]
flight to vietnam,NO,0,,[]
ticket flight to vietnam,NO,0,,[]
cheap flight to vietnam,NO,0,,[]
flight to vietnam cheap,YES,9,,"[{""rank"":1,""domain"":""www.expedia.com.sg""},{""rank"":2,""domain"":""www.google.com""},{""rank"":3,""domain"":""www.cheapflights.com.sg""},{""rank"":4,""domain"":""www.skyscanner.com.sg""},{""rank"":5,""domain"":""www.cheapflights.com.sg""},{""rank"":6,""domain"":""www.kayak.sg""},{""rank"":7,""domain"":""www.google.com""},{""rank"":8,""domain"":""www.skyscanner.com.sg""},{""rank"":9,""domain"":""vietnamdiscovery.com""}]"
vietnam to singapore flight time,NO,0,,[]
flight vietnam to singapore,NO,0,,[]
vietnam singapore flight,NO,0,,[]
vietnam to singapore flight,NO,0,,[]
vietnam flight to singapore,NO,0,,[]
